bin_lo,bin_hi,count,fraction
0.0000,1.0000,1,0.0000000239
1.0000,2.0000,0,0.0000000000
2.0000,3.0000,0,0.0000000000
3.0000,4.0000,0,0.0000000000
4.0000,5.0000,1,0.0000000239
5.0000,6.0000,1,0.0000000239
6.0000,7.0000,0,0.0000000000
7.0000,8.0000,5,0.0000001194
8.0000,9.0000,2,0.0000000478
9.0000,10.0000,2,0.0000000478
10.0000,11.0000,1,0.0000000239
11.0000,12.0000,23,0.0000005493
12.0000,13.0000,7,0.0000001672
13.0000,14.0000,8,0.0000001910
14.0000,15.0000,19,0.0000004537
15.0000,16.0000,13,0.0000003105
16.0000,17.0000,14,0.0000003343
17.0000,18.0000,23,0.0000005493
18.0000,19.0000,27,0.0000006448
19.0000,20.0000,44,0.0000010508
20.0000,21.0000,44,0.0000010508
21.0000,22.0000,47,0.0000011224
22.0000,23.0000,67,0.0000016000
23.0000,24.0000,67,0.0000016000
24.0000,25.0000,50,0.0000011940
25.0000,26.0000,184,0.0000043941
26.0000,27.0000,170,0.0000040598
27.0000,28.0000,164,0.0000039165
28.0000,29.0000,157,0.0000037493
29.0000,30.0000,204,0.0000048717
30.0000,31.0000,345,0.0000082389
31.0000,32.0000,359,0.0000085733
32.0000,33.0000,313,0.0000074747
33.0000,34.0000,688,0.0000164301
34.0000,35.0000,579,0.0000138271
35.0000,36.0000,646,0.0000154271
36.0000,37.0000,804,0.0000192003
37.0000,38.0000,944,0.0000225436
38.0000,39.0000,1166,0.0000278452
39.0000,40.0000,816,0.0000194868
40.0000,41.0000,2085,0.0000497917
41.0000,42.0000,1645,0.0000392841
42.0000,43.0000,2200,0.0000525381
43.0000,44.0000,1763,0.0000421021
44.0000,45.0000,2633,0.0000628785
45.0000,46.0000,3313,0.0000791175
46.0000,47.0000,3188,0.0000761324
47.0000,48.0000,3927,0.0000937804
48.0000,49.0000,5423,0.0001295063
49.0000,50.0000,214,0.0000051105
50.0000,51.0000,10058,0.0002401944
51.0000,52.0000,7102,0.0001696024
52.0000,53.0000,8378,0.0002000745
53.0000,54.0000,8442,0.0002016029
54.0000,55.0000,9849,0.0002352033
55.0000,56.0000,11775,0.0002811980
56.0000,57.0000,12972,0.0003097835
57.0000,58.0000,16324,0.0003898324
58.0000,59.0000,17974,0.0004292359
59.0000,60.0000,14142,0.0003377242
60.0000,61.0000,30522,0.0007288939
61.0000,62.0000,26504,0.0006329403
62.0000,63.0000,34309,0.0008193310
63.0000,64.0000,34441,0.0008224833
64.0000,65.0000,43194,0.0010315131
65.0000,66.0000,57689,0.0013776672
66.0000,67.0000,63223,0.0015098243
67.0000,68.0000,64328,0.0015362128
68.0000,69.0000,89313,0.0021328779
69.0000,70.0000,89503,0.0021374153
70.0000,71.0000,134671,0.0032160693
71.0000,72.0000,138769,0.0033139334
72.0000,73.0000,182310,0.0043537332
73.0000,74.0000,201658,0.0048157815
74.0000,75.0000,189716,0.0045305954
75.0000,76.0000,351600,0.0083965366
76.0000,77.0000,369535,0.0088248412
77.0000,78.0000,422175,0.0100819336
78.0000,79.0000,521061,0.0124434237
79.0000,80.0000,507554,0.0121208639
80.0000,81.0000,826835,0.0197455926
81.0000,82.0000,849931,0.0202971466
82.0000,83.0000,1004437,0.0239868943
83.0000,84.0000,1148598,0.0274295938
84.0000,85.0000,1336760,0.0319230782
85.0000,86.0000,1592162,0.0380223166
86.0000,87.0000,1753762,0.0418814757
87.0000,88.0000,1943678,0.0464168473
88.0000,89.0000,2183635,0.0521472447
89.0000,90.0000,2276509,0.0543651626
90.0000,91.0000,2637251,0.0629800187
91.0000,92.0000,2622302,0.0626230226
92.0000,93.0000,2718214,0.0649134908
93.0000,94.0000,2622107,0.0626183659
94.0000,95.0000,2476097,0.0591315106
95.0000,96.0000,2368256,0.0565561667
96.0000,97.0000,2185566,0.0521933588
97.0000,98.0000,1926911,0.0460164356
98.0000,99.0000,1830283,0.0437088687
99.0000,100.0000,1867627,0.0446006783
