config,total_fetches,distinct_rows,reuse_factor,dram_traffic_gib,mean_row_bytes,hottest_row_fetches,fetches_at_rank_1e6,head_to_rank1M_ratio,traffic_from_hottest_1pct_of_corpus,rows_in_hottest_1pct,traffic_from_hottest_10pct_of_corpus,rows_in_hottest_10pct
efc200_ef400,41968724,7972830,5.263968280483057,7.871134354397508,208.995662,10165,9,1129.4444444444443,8.043509939338916,79728,33.3459602528102,797283
efc200_ef3200,244226296,8798722,27.757019218599897,46.00452246342628,209.578868,10204,52,196.23076923076923,6.261835765330794,87987,30.811534661593452,879872
efc800_ef3200,340236762,8828989,38.53632188515154,64.03763363977515,210.939002,10210,67,152.38805970149255,5.194081862533166,88290,27.17129353375921,882899
