nfilter,t1,t2,t3,t4,t5
1400,78.402,62.961,13.096,3.476,6.263
539,29.236,24.407,4.108,1.463,1.423
124,5.511,5.892,0.921,0.43,0.22
18,0.501,0.872,0.25,0.141,0.06
17,0.461,1.002,0.271,0.12,0.872
320,12.514,13.677,2.264,0.742,16.372
2012,104.642,78.822,18.646,3.647,22.724
1194,69.354,49.535,11.201,2.625,6.622
450,26.351,19.667,3.246,1.222,1.092
114,5.33,4.98,0.882,0.702,0.321
13,0.681,1.012,0.211,0.12,0.04
22,0.521,0.942,0.26,0.05,1.062
466,18.726,23.375,3.376,1.122,21.081
2089,111.094,99.051,19.377,4.138,22.202
1363,77.719,67.039,12.695,3.927,9.148
777,42.873,38.805,6.382,2.465,2.475
201,10.861,10.32,1.463,0.711,0.631
66,2.625,3.287,0.562,0.27,0.091
31,0.731,0.862,0.321,0.05,1.473
647,26.501,24.858,5.22,1.664,24.618
2235,111.896,86.668,20.72,5.049,19.517
1489,79.634,70.356,13.777,7.434,8.787
707,39.897,32.002,5.841,2.365,1.543
121,6.052,5.37,0.931,0.772,0.31
25,1.103,1.282,0.261,0.15,0.05
26,0.571,1.443,0.27,0.18,1.082
581,23.035,29.336,4.528,2.695,21.02
2482,125.111,117.487,22.714,9.378,24.638
1464,85.235,67.31,13.746,5.36,6.743
508,28.725,24.076,3.688,1.954,1.103
55,3.115,2.515,0.501,0.361,0.16
9,0.481,0.461,0.17,0.351,0.04
19,0.521,0.761,0.261,0.06,1.002
397,15.029,15.991,2.846,0.932,16.972
2344,119.301,91.567,21.471,4.539,23.986
1699,91.106,67.52,15.92,4.067,8.997
1019,52.531,41.54,9.228,2.765,2.505
209,9.849,9.278,1.513,0.782,0.651
74,3.266,3.296,0.611,0.341,0.311
22,0.831,0.991,0.25,0.13,0.071
22,0.561,1.252,0.221,0.05,1.132
427,18.286,20.309,3.126,1.032,19.468
1839,101.606,86.647,17.143,4.168,20.459
1368,77.891,61.869,12.825,3.697,5.711
629,32.141,27.153,4.979,1.964,1.733
197,8.777,8.957,1.442,0.661,0.21
19,0.531,0.842,0.27,0.06,0.891
374,14.649,16.101,2.645,0.782,15.129
2280,116.434,95.674,21.051,5.751,24.277
1437,80.746,58.433,13.396,3.517,7.795
784,42.832,31.551,6.563,1.884,3.226
346,16.762,14.077,2.434,1.012,0.712
44,1.823,2.225,0.421,0.24,0.06
26,0.621,1.443,0.26,0.14,1.113
399,17.754,20.269,2.816,1.323,21.2
1201,75.806,60.617,11.241,3.487,13.687
542,37.312,26.311,4.038,1.532,1.443
73,4.268,3.627,0.601,0.32,0.2
14,0.51,0.731,0.2,0.13,0.04
20,0.601,0.902,0.24,0.161,0.942
452,17.594,20.249,3.286,1.603,19.077
2591,127.286,108.849,23.746,8.707,28.185
1671,93.771,68.923,15.7,4.609,7.995
690,38.213,29.166,5.561,1.703,1.052
34,1.844,1.623,0.341,0.15,0.121
20,0.591,0.922,0.21,0.05,0.071
25,0.561,1.282,0.261,0.15,1.162
557,22.964,26.301,4.178,2.364,26.791
2277,115.923,110.723,23.856,9.548,16.472
1260,67.51,57.321,11.683,4.108,3.867
298,14.708,14.208,2.124,1.032,0.741
81,3.407,4.148,0.692,0.261,0.23
18,0.591,1.222,0.231,0.17,0.05
32,0.601,1.773,0.31,0.16,1.523
737,30.558,32.162,6.002,2.605,31.852
2425,121.895,104.301,22.283,8.035,34.175
1556,89.201,68.612,14.418,5.07,8.166
592,36.501,29.106,4.539,2.144,0.872
53,2.024,2.896,0.491,0.24,0.081
21,0.682,1.013,0.241,0.17,1.033
422,18.586,18.946,2.976,2.104,18.145
2251,117.737,96.285,20.67,9.008,21.752
1710,95.474,73.952,15.86,7.254,12.765
893,56.589,39.736,7.725,3.517,4.298
231,14.659,10.44,1.674,0.861,0.722
28,2.154,1.473,0.291,0.17,0.06
32,0.762,1.533,0.29,0.201,1.473
750,30.829,32.813,6.092,2.835,23.025
2522,127.856,104.181,23.225,7.434,22.003
1819,96.837,76.117,17.013,5.32,8.456
781,42.531,33.043,6.512,1.964,1.463
107,4.729,4.73,0.861,0.582,0.13
25,0.782,1.343,0.27,0.341,1.252
582,27.233,26.321,4.419,2.855,21.973
2844,143.236,123.788,25.81,10.861,28.475
2000,109.832,85.575,18.415,7.525,10.18
936,50.507,41.671,8.155,3.616,1.933
194,9.648,9.558,1.413,0.821,0.221
23,0.501,1.132,0.291,0.14,1.133
573,22.314,25.339,4.258,2.485,26.11
3144,145.831,129.831,28.745,10.12,36.51
2668,131.334,111.976,24.357,8.576,17.163
1947,113.479,82.389,18.135,7.073,7.074
720,36.611,32.553,5.731,2.615,1.493
108,5.19,4.859,0.831,0.341,0.191
10,0.531,0.531,0.18,0.13,0.03
22,0.511,1.042,0.241,0.151,1.102
407,16.612,18.465,2.856,1.312,17.905
1826,101.035,75.275,17.003,4.749,16.201
1005,59.144,41.66,9.048,2.976,3.407
287,15.4,13.106,2.024,0.962,0.491
39,1.462,1.704,0.4,0.22,0.06
26,0.672,1.332,0.271,0.16,1.213
526,21.642,24.337,3.837,2.224,18.836
2280,117.016,96.666,21.01,7.234,20.69
1499,85.375,64.354,13.917,5.09,6.101
540,30.549,24.387,3.948,2.014,0.771
36,1.443,1.883,0.341,0.241,0.081
20,0.621,1.082,0.191,0.14,0.912
323,14.017,13.886,2.254,1.383,17.153
2163,112.497,88.631,19.958,4.889,26.431
1347,80.285,54.055,12.584,3.246,8.366
514,32.212,21.662,3.727,1.143,1.163
47,2.515,2.565,0.451,0.16,0.081
19,0.651,0.802,0.241,0.12,0.892
417,15.55,18.546,2.925,1.172,20.98
2833,135.452,115.623,26.05,8.857,43.043
2565,128.719,111.095,23.605,8.446,27.854
1993,109.721,91.466,18.666,7.875,15.08
1192,69.764,56.048,11.302,5.009,3.868
378,19.457,17.473,2.625,1.823,0.562
27,1.172,1.373,0.32,0.181,0.06
30,0.511,1.482,0.28,0.211,1.372
456,19.428,19.187,3.257,1.664,18.055
1626,89.703,66.188,15.38,3.406,21.642
1027,62.961,41.7,9.367,2.846,5.411
332,19.297,14.318,2.355,1.262,0.651
51,2.204,2.154,0.511,0.24,0.19
16,0.521,0.752,0.18,0.11,0.051
31,0.972,1.302,0.321,0.13,1.353
631,25.689,26.581,5.29,1.924,23.726
2266,116.204,91.627,20.941,5.33,23.696
1660,99.412,79.373,15.489,4.77,7.806
813,43.323,36.57,6.964,2.775,1.763
153,7.474,7.073,1.122,0.552,0.17
28,0.761,1.403,0.281,0.15,1.273
643,24.938,31.351,5.11,2.635,19.848
2711,132.516,122.035,24.878,9.118,23.856
1861,95.063,85.064,17.203,6.142,9.137
1026,52.972,46.47,9.107,3.937,3.898
421,20.67,19.939,2.945,1.523,0.961
51,2.285,2.755,0.481,0.261,0.17
21,0.712,0.952,0.25,0.06,0.051
16,0.321,0.742,0.2,0.161,0.771
269,15.811,15.4,1.904,1.092,11.312
1993,151.552,103.731,18.475,7.655,20.57
1282,117.727,75.676,12.174,5.1,4.589
400,29.527,21.051,2.805,1.303,0.881
61,2.765,2.695,0.501,0.28,0.09
20,0.492,0.932,0.211,0.16,0.902
368,15.27,17.974,2.534,1.613,14.517
1957,104.561,94.883,18.205,8.266,18.596
1169,69.634,59.905,10.851,4.479,4.599
375,20.389,19.517,2.636,1.382,0.712
49,1.954,2.805,0.481,0.281,0.2
22,0.61,1.222,0.24,0.15,0.05
29,0.621,1.333,0.3,0.171,1.302
646,26.201,28.595,5.18,2.554,17.715
2553,134.228,104.302,23.325,8.416,27.733
1527,104.2,65.606,14.428,5.371,12.414
783,58.322,33.455,6.432,2.945,2.806
214,15.4,9.799,1.553,0.771,0.35
14,1.934,0.722,0.19,0.13,0.051
30,0.741,1.323,0.29,0.14,1.333
732,29.326,32.643,5.961,2.886,23.194
3018,145.681,126.714,27.784,10.48,27.253
2507,126.594,104.691,23.015,8.957,17.263
1558,83.561,67.41,14.699,5.431,5.972
588,30.028,26.511,4.599,2.014,1.313
135,5.801,6.403,1.082,0.591,0.151
21,0.491,1.183,0.24,0.141,1.033
427,16.462,19.387,2.976,1.913,19.808
2301,119.07,96.165,21.192,7.514,22.954
1450,82.57,62.28,13.837,4.418,6.022
527,29.166,23.325,3.877,1.583,1.031
56,2.715,2.645,0.48,0.27,0.08
25,0.591,1.042,0.271,0.15,1.122
549,21.412,22.964,4.188,1.563,20.008
2021,108.339,80.565,18.857,3.947,21.241
1107,68.402,45.237,10.44,2.445,5.671
422,24.517,18.455,2.976,1.303,0.591
31,1.243,1.303,0.311,0.14,0.05
15,0.28,0.973,0.201,0.15,0.722
314,11.492,14.719,2.174,1.473,15.309
2425,121.484,109.34,22.352,8.115,28.215
1566,85.695,69.443,14.879,5.751,6.473
450,26.611,20.78,3.176,1.944,0.851
33,1.854,1.824,0.381,0.19,0.161
9,0.451,0.53,0.16,0.14,0.03
25,0.631,1.032,0.251,0.13,1.202
543,21.02,22.404,3.988,1.903,25.93
2156,110.513,85.986,19.859,5.431,20.159
1113,65.647,44.235,10.32,3.146,4.288
256,15.7,11.231,1.784,0.751,0.712
46,2.535,1.893,0.4,0.221,0.07
22,0.631,1.193,0.27,0.451,0.962
485,18.686,24.868,3.517,2.054,17.153
2362,123.348,117.987,21.682,7.254,23.255
1588,92.258,80.905,14.888,5.491,6.954
633,34.626,31.701,5.03,2.325,0.721
8,0.561,0.431,0.16,0.14,0.03
17,0.481,0.872,0.23,0.421,0.722
282,11.752,14.618,1.964,0.982,16.281
1847,101.045,90.775,17.173,5.551,22.042
1645,92.549,81.097,15.42,5.02,11.653
1152,62.831,56.158,10.751,3.747,2.916
234,11.923,11.302,1.693,0.862,0.441
20,0.871,0.982,0.23,0.141,0.051
32,0.681,1.343,0.28,0.15,1.413
422,19.918,17.013,3.016,1.172,19.127
916,63.974,37.192,7.965,1.984,12.454
218,21.572,8.968,1.563,0.531,1.052
36,2.254,1.554,0.32,0.211,0.12
10,0.371,0.491,0.17,0.12,0.04
18,0.44,0.931,0.23,0.13,0.922
295,11.412,13.656,2.074,1.052,14.207
1421,91.617,63.212,13.315,5.32,17.444
480,35.789,20.89,3.437,1.543,1.804
83,5.01,3.707,0.721,0.341,0.13
26,0.581,1.122,0.281,0.15,1.062
590,22.964,25.769,4.508,2.174,24.808
2654,129.029,114.05,24.237,5.781,31.781
1971,105.634,81.837,18.335,4.348,14.919
1321,72.55,55.176,12.684,2.975,4.549
384,20.149,16.852,2.676,0.911,1.152
74,3.847,3.016,0.631,0.191,0.29
22,1.002,1.091,0.24,0.06,0.051
25,0.541,1.363,0.27,0.41,1.232
497,20.279,22.804,3.698,2.425,22.634
2544,126.774,107.477,23.375,9.177,21.882
1618,86.477,67.279,15.049,5.42,5
437,22.393,18.606,3.116,1.854,0.721
52,2.044,2.676,0.461,0.241,0.07
29,0.621,1.653,0.311,0.16,1.323
582,23.294,27.753,4.439,2.385,26.671
2487,124.42,112.326,22.975,9.127,21.933
1368,77.359,61.96,12.885,5.691,6.152
550,30.539,25.008,4.179,2.314,1.172
60,3.156,2.865,0.49,0.29,0.09
20,0.45,0.871,0.23,0.13,1.002
242,12.764,10.77,1.743,0.892,11.572
934,83.401,40.539,8.287,3.037,14.539
382,53.954,16.322,2.675,1.032,4.068
178,20.379,7.775,1.272,0.822,1.162
58,5.371,2.765,0.511,0.241,0.18
9,0.441,0.451,0.171,0.111,0.03
28,0.661,1.112,0.281,0.06,1.302
598,24.787,24.146,4.659,1.062,21.121
2262,112.627,89.262,20.69,4.509,19.027
1526,81.096,64.235,14.388,3.908,6.332
774,38.725,34.106,6.433,2.274,2.044
181,9.138,8.266,1.322,0.631,0.391
31,1.272,1.283,0.351,0.17,0.06
18,0.461,0.851,0.271,0.151,0.941
338,13.406,16.692,2.384,1.193,16.091
1950,104.572,91.447,18.054,6.683,24.097
949,60.156,46.841,8.296,3.126,3.637
237,14.688,11.211,1.744,0.891,0.501
11,0.691,0.892,0.22,0.151,0.04
16,0.42,0.722,0.19,0.14,0.752
212,9.168,9.969,1.493,0.731,11.282
919,61.569,38.655,8.066,2.925,16.803
502,38.524,29.617,4.699,1.713,3.327
172,11.542,7.684,1.223,0.601,0.25
4,0.32,0.401,0.13,0.04,0.03
32,0.872,1.594,0.31,0.131,1.532
699,28.164,29.177,5.641,1.763,23.946
2310,116.395,90.695,21.411,5.019,28.555
1599,92.849,62.821,15.009,3.175,12.243
705,45.448,28.855,5.781,1.442,1.483
42,3.557,1.804,0.401,0.16,0.07
21,0.581,1.212,0.241,0.14,0.922
422,16.362,18.045,2.986,1.754,18.235
1762,99.642,71.558,16.592,4.388,17.755
699,48.974,29.276,5.661,2.124,2.836
121,9.408,4.96,0.922,0.37,0.391
21,1.092,0.912,0.231,0.05,0.05
28,0.561,1.173,0.27,0.261,1.302
524,21.983,22.313,3.818,1.373,17.825
1768,94.492,67.841,16.472,4.258,13.766
941,53.684,38.795,8.386,2.595,5.451
477,27.142,20.299,3.457,1.363,1.373
112,5.711,5.25,0.852,0.431,0.251
5,0.361,0.321,0.15,0.041,0.031
9,0.271,0.421,0.16,0.11,0.632
157,5.4,7.425,1.693,0.601,6.843
2181,108.489,88.832,20.289,5.861,27.363
1173,71.768,47.692,10.981,3.006,10.731
455,31.691,18.716,3.316,1.282,1.193
41,3.166,2.094,0.381,0.231,0.09
26,0.601,1.073,0.29,0.12,1.262
454,19.968,18.425,3.277,1.302,21.171
1567,91.116,61.83,14.698,3.086,14.428
747,47.392,29.877,6.181,1.744,2.715
139,8.897,6.292,1.042,0.361,0.321
10,0.501,0.461,0.2,0.121,0.051
25,0.591,1.603,0.271,0.14,1.112
440,18.676,23.205,3.176,1.723,23.656
1808,99.872,93.179,16.863,5.01,25.339
1094,70.356,55.918,10.139,3.867,7.384
466,28.675,22.283,3.397,1.803,1.473
107,5.831,5.57,0.852,0.461,0.13
21,0.501,0.911,0.251,0.15,1.002
392,15.029,17.644,2.715,0.901,15.559
2559,128.738,105.263,23.575,6.373,26.992
1911,102.427,79.663,17.865,4.879,11.442
1197,63.603,51.72,11.162,3.286,4.519
452,22.504,19.237,3.216,1.162,1.102
120,5.46,5.541,0.891,0.391,0.271
4,0.411,0.25,0.121,0.031,0.04
28,0.611,1.282,0.271,0.05,1.373
327,16.251,13.436,2.355,0.611,15.33
999,64.684,48.263,8.967,1.603,10.01
364,27.533,15.57,2.534,0.641,0.871
21,1.843,1.072,0.25,0.281,0.07
27,0.601,1.302,0.271,0.17,1.182
489,21.121,21.282,3.566,2.024,21.873
1419,83.21,63.001,13.516,5,10.811
552,35.879,26.381,4.139,2.295,0.962
60,3.497,2.886,0.481,0.29,0.09
25,0.571,1.572,0.25,0.15,1.133
537,21.491,25.099,4.078,2.214,19.568
2734,132.065,121.515,25.018,8.977,26.511
2072,105.102,93.59,19.137,6.612,13.937
1298,66.849,58.653,12.063,4.348,4.428
532,25.9,24.468,3.887,1.894,1.433
141,6.422,6.653,1.062,0.491,0.37
48,1.884,2.345,0.411,0.44,0.07
27,0.561,1.283,0.3,0.06,1.252
469,20.029,20.67,3.447,1.853,19.869
2036,106.155,83.15,19.318,6.222,20.078
1328,74.774,55.778,12.624,4.058,4.849
401,21.862,17.834,2.866,1.673,0.862
48,2.345,2.274,0.431,0.301,0.15
13,0.491,0.672,0.18,0.12,0.06
20,0.461,1.202,0.221,0.13,0.942
392,15.209,17.394,2.755,0.911,18.416
2463,123.388,100.553,22.734,5.782,26.37
1906,103.099,77.449,17.835,4.608,11.462
942,53.252,38.975,8.376,2.225,2.635
222,11.181,9.588,1.594,0.692,0.331
6,0.4,0.331,0.171,0.05,0.04
17,0.471,0.762,0.23,0.15,0.912
289,11.843,13.396,2.014,1.123,15.44
2060,108.009,90.956,19.307,7.234,21.852
1392,80.185,62.21,12.945,4.96,5.771
523,27.964,23.956,3.927,1.854,1.152
97,4.598,4.78,0.791,0.411,0.24
25,1.103,1.102,0.26,0.201,0.06
25,0.591,1.152,0.241,0.13,1.122
510,21.131,22.192,3.868,1.994,21.912
2319,119.911,95.043,21.381,5.971,23.746
1243,75.285,50.898,11.823,3.947,7.184
407,26.111,17.384,2.875,1.062,0.521
6,0.541,0.36,0.16,0.12,0.181
17,0.611,0.761,0.231,0.12,0.05
30,0.611,1.834,0.32,0.37,1.423
535,22.874,25.098,3.908,2.585,23.795
2395,122.285,117.096,22.103,9.127,25.88
1694,95.725,74.444,15.771,6.602,7.194
625,35.619,28.064,4.929,2.635,1.523
113,5.12,5.41,0.912,0.471,0.241
16,0.45,1.102,0.18,0.141,0.04
19,0.44,1.182,0.25,0.11,0.962
404,15.45,18.706,2.856,1.352,20.971
1928,103.87,81.908,18.085,5.29,22.343
1616,90.084,71.999,15.059,4.198,9.87
991,53.122,44.286,8.867,2.234,3.457
381,18.356,17.654,2.665,1.363,1.082
117,4.75,6.061,0.911,0.471,0.281
11,0.571,0.581,0.221,0.14,0.04
20,0.461,0.942,0.23,0.131,1.012
258,12.614,12.665,1.823,1.093,11.633
1221,86.306,50.176,11.261,3.617,20.36
720,56.629,29.817,5.922,2.165,10.7
497,38.724,21.652,3.627,1.643,2.715
179,13.356,8.106,1.342,0.671,0.871
57,5.642,2.865,0.511,0.621,0.19
3,0.28,0.201,0.15,0.12,0.03
24,0.551,1.132,0.251,0.17,1.183
430,17.974,18.205,3.146,1.974,22.213
2402,122.386,96.265,22.083,6.683,29.527
1697,96.005,68.752,15.791,4.879,10.28
778,43.905,32.102,6.462,2.164,2.214
166,9.318,7.504,1.263,0.541,0.35
23,1.062,1.112,0.32,0.14,0.05
29,0.692,1.403,0.28,0.191,1.342
