nfilter,t1,t2,t3,t4,t5,label_mad
1422,68.923,60.516,13.476,3.377,7.925
843,41.26,37.021,7.335,2.314,2.585
332,14.869,15.33,2.394,1.042,0.892
103,4.198,4.489,0.801,0.361,0.21
23,0.731,1.022,0.271,0.13,0.05
27,0.531,1.313,0.32,0.19,1.182
582,22.774,27.733,4.589,2.374,23.575
1666,76.487,76.738,15.78,7.074,24.196
1432,69.974,66.628,13.336,6.042,7.755
861,44.997,40.458,7.454,3.196,2.725
345,15.75,16.352,2.705,1.362,0.591
39,1.483,1.994,0.401,0.241,0.07
25,0.581,1.133,0.3,0.141,1.052
497,19.097,22.052,3.838,1.272,16.953
1503,70.866,61.519,14.107,3.617,20.58
1170,62.38,49.074,10.761,3.046,5.921
681,33.134,29.507,5.651,1.773,2.295
313,13.947,14.228,2.244,0.952,0.912
100,4.078,5.2,0.752,0.371,0.12
22,0.531,0.902,0.27,0.13,1.062
384,15.89,15.219,2.866,1.222,17.243
948,53.523,37.943,8.416,2.856,14.758
877,49.785,35.548,7.704,2.646,4.198
361,18.606,15.39,2.565,1.192,0.501
13,0.531,0.641,0.19,0.13,0.041
19,0.49,0.932,0.271,0.13,0.892
410,15.49,18.316,3.046,1.543,16.672
1401,68.903,61.508,13.095,4.188,20.499
1090,57.54,46.419,9.769,3.076,6.783
665,35.328,30.198,5.47,2.104,1.783
168,7.625,7.745,1.233,0.661,0.281
18,0.691,0.842,0.26,0.131,0.05
17,0.44,0.851,0.24,0.12,0.861
321,12.514,14.047,2.275,1.092,16.732
1285,63.853,55.286,11.963,3.016,21.512
920,51.148,39.927,8.015,2.926,6.402
573,31.01,25.439,4.539,2.094,1.513
146,6.743,6.753,1.092,0.511,0.421
23,1.223,1.052,0.26,0.13,0.06
22,0.57,0.801,0.271,0.06,1.002
459,18.365,18.806,3.507,1.092,20.83
1245,62.23,50.547,11.683,2.996,19.888
1013,54.596,42.732,9.048,2.805,9.689
921,49.315,39.837,8.106,3.136,2.876
219,11.793,10.18,1.633,0.731,0.692
77,3.046,3.457,0.631,0.311,0.33
43,1.724,2.014,0.401,0.161,0.19
13,0.44,0.591,0.17,0.13,0.05
31,0.692,1.232,0.321,0.321,1.372
