nfilter,t1,t2,t3,t4,t5,label_mad
365,20.84,0,0,20.77,0.762,218206
65,3.627,0,0,3.938,0.12,219467
29,0.732,0,0,1.743,1.383,132989
580,24.898,0,0,33.184,20.39,232645
2344,121.285,0,0,127.887,19.367,244225
1391,79.464,0,0,77.269,9.949,230214
642,41.54,0,0,35.769,3.998,250910
209,14.669,0,0,11.713,0.561,217248
27,1.553,0,0,1.703,0.05,177512
19,0.521,0,0,1.433,0.882,293201
307,12.995,0,0,17.774,14.598,260227
2080,111.886,0,0,115.875,24.898,220250
1472,86.708,0,0,81.938,9.529,186464
887,50.918,0,0,49.906,3.076,198241
287,15.901,0,0,16.031,0.741,176889
57,2.575,0,0,3.416,0.07,205355
16,0.341,0,0,1.173,0.892,136404
355,13.577,0,0,20.52,15.7,210678
2726,136.314,0,0,147.956,25.97,227090
1860,104.222,0,0,102.848,9.779,201980
790,46.099,0,0,45.007,2.215,187822
159,8.787,0,0,8.918,0.311,191762
15,0.521,0,0,0.872,0.04,333446
15,0.33,0,0,0.871,0.671,272842
321,12.354,0,0,18.506,16.272,239574
2582,134.249,0,0,143.257,25.188,241998
1598,93.752,0,0,89.944,8.196,246632
719,42.071,0,0,40.589,1.443,236016
75,4.108,0,0,4.599,0.12,273015
26,0.732,0,0,1.433,1.142,162260
609,24.337,0,0,34.597,24.387,192949
2606,134.74,0,0,144.26,20.62,202566
1496,86.167,0,0,84.363,5.381,219522
448,24.988,0,0,25.489,0.992,214056
38,2.505,0,0,2.354,0.06,250140
31,0.821,0,0,1.664,1.343,209130
589,25.279,0,0,34.196,21.642,190262
2140,113.72,0,0,118.599,20.45,207316
1365,81.037,0,0,77.67,4.508,233130
372,20.691,0,0,21.572,0.602,232294
30,1.693,0,0,1.663,0.181,210084
16,0.521,0,0,0.882,0.04,178114
24,0.612,0,0,1.333,1.142,184032
506,20.46,0,0,29.256,19.027,223757
2564,129.16,0,0,147.946,22.804,223368
1569,91.267,0,0,88.582,7.755,230938
633,37.002,0,0,36.09,1.402,224876
65,3.758,0,0,3.848,0.17,231901
3,0.301,0,0,0.231,0.03,187285
10,0.29,0,0,0.631,0.521,181150
166,6.593,0,0,9.749,8.276,235400
2020,106.977,0,0,114.812,27.764,237616
1207,77.991,0,0,68.212,16.753,208426
550,44.085,0,0,31.55,3.737,191230
76,7.976,0,0,4.328,0.42,132093
10,0.802,0,0,0.642,0.03,7754.5
26,0.631,0,0,1.813,1.262,143784
536,21.792,0,0,31.12,21.311,244646
2061,109.021,0,0,117.147,20.37,244690
1080,66.027,0,0,62.561,4.569,237970
438,24.478,0,0,25.579,0.942,248512
79,3.768,0,0,4.769,0.18,264860
18,0.752,0,0,1.133,0.05,152856
20,0.481,0,0,1.032,0.982,181950
448,17.434,0,0,26.171,18.676,179871
2548,130.412,0,0,143.658,27.423,202246
2167,117.928,0,0,121.625,17.223,213568
1502,82.099,0,0,85.946,7.415,223998
650,35.418,0,0,37.413,1.293,229811
83,3.978,0,0,4.919,0.21,238649
14,0.501,0,0,1.113,0.04,243102
30,0.691,0,0,1.603,1.423,227148
651,27.293,0,0,37.412,23.476,249801
2592,133.218,0,0,144.93,21.682,241173
1514,91.217,0,0,86.297,5.15,242511
372,22.404,0,0,21.682,0.752,230488
62,2.715,0,0,3.727,0.1,207586
30,0.682,0,0,1.723,1.343,248240
638,26.21,0,0,37.663,24.007,230680
2217,118.99,0,0,134.38,23.927,248037
1351,85.736,0,0,78.542,9.188,258734
594,39.457,0,0,34.697,1.483,254776
59,3.697,0,0,3.437,0.09,227851
19,0.521,0,0,1.253,0.952,68038
447,17.163,0,0,24.267,20.219,195506
2374,121.866,0,0,127.747,26.722,224082
1904,106.356,0,0,106.557,12.434,238043
1072,59.405,0,0,60.627,3.337,248891
364,18.496,0,0,20.831,0.691,240478
62,2.445,0,0,3.396,0.19,168962
15,0.531,0,0,0.862,0.05,220015
23,0.682,0,0,1.313,1.122,215258
457,18.777,0,0,26.602,20.39,267609
2386,123.679,0,0,134.069,15.47,265612
1308,71.238,0,0,74.614,3.306,262542
317,17.413,0,0,18.646,0.4,260174
8,0.521,0,0,0.501,0.03,190266
32,0.982,0,0,1.754,1.603,196258
686,28.656,0,0,39.286,22.082,265028
3036,151.654,0,0,165.831,22.945,268805
2285,119.832,0,0,127.296,10.661,271282
1209,65.056,0,0,67.921,3.246,265517
352,17.764,0,0,20.019,0.681,265540
48,2.355,0,0,3.056,0.07,247369
25,0.581,0,0,1.413,1.142,210143
478,19.568,0,0,27.643,20.931,221479
1722,101.196,0,0,97.318,13.396,243232
964,59.866,0,0,54.636,3.237,255369
250,13.335,0,0,14.559,0.491,247052
27,1.092,0,0,1.523,0.05,200478
22,0.551,0,0,1.233,1.112,261462
468,19.007,0,0,26.732,19.808,249664
2550,130.884,0,0,139.71,31.14,220269
1608,93.962,0,0,91.206,5.942,226061
555,31.231,0,0,32.173,1.332,211151
87,4.268,0,0,5.03,0.32,185051
30,1.232,0,0,1.864,0.051,171555
14,0.361,0,0,0.861,0.652,223081
248,10.34,0,0,14.127,12.725,231813
1942,107.889,0,0,107.388,24.086,239130
1368,84.142,0,0,78.182,9.249,244738
697,43.043,0,0,40.438,2.576,265229
202,11.843,0,0,11.553,0.481,226429
29,1.192,0,0,2.003,0.051,261790
15,0.321,0,0,0.882,0.772,220781
322,12.584,0,0,17.965,16.02,238732
2679,135.854,0,0,149.799,31.05,232336
2264,122.958,0,0,125.983,19.649,252091
1323,79.964,0,0,74.565,4.559,253091
306,18.505,0,0,17.874,0.642,253838
60,2.705,0,0,3.898,0.11,270162
21,0.592,0,0,1.142,0.992,184640
382,16.181,0,0,22.133,17.794,275920
1919,106.647,0,0,107.719,21.662,268479
1003,67.039,0,0,54.766,9.138,254229
460,32.863,0,0,26.441,1.493,261914
74,4.719,0,0,4.479,0.211,247809
3,0.29,0,0,0.25,0.041,2776
30,0.701,0,0,2.074,1.322,153446
575,24.427,0,0,32.813,20.89,191032
2226,118.579,0,0,123.328,12.615,231131
1067,59.625,0,0,59.986,2.154,237475
153,8.286,0,0,9.038,0.18,217753
26,0.561,0,0,1.743,1.142,208111
522,20.71,0,0,29.046,20.901,219570
2456,124.28,0,0,133.378,21.571,243442
1884,100.795,0,0,103.03,8.546,229992
871,51.91,0,0,48.764,2.405,221413
270,13.295,0,0,15.851,0.42,217434
15,0.581,0,0,0.852,0.06,197435
20,0.491,0,0,1.543,0.952,162088
383,15.18,0,0,22.414,16.802,287662
2242,120.914,0,0,123.679,23.866,283860
1184,76.498,0,0,66.84,7.264,247596
478,29.918,0,0,27.623,0.552,260820
9,0.481,0,0,0.551,0.04,231912
24,0.631,0,0,1.333,1.102,197370
458,19.277,0,0,26.25,19.838,243108
2104,114.171,0,0,116.145,20.45,235652
1476,89.293,0,0,82.63,8.546,214560
687,41.35,0,0,38.094,2.174,235175
119,7.315,0,0,6.543,0.491,266502
22,1.122,0,0,1.463,0.13,266611
6,0.381,0,0,0.401,0.03,63106
24,0.621,0,0,1.403,1.152,202694
451,19.177,0,0,26.041,20.149,239352
1640,96.477,0,0,92.348,7.976,258006
609,36.43,0,0,35.148,1.222,241187
76,4.008,0,0,4.849,0.09,226587
31,0.831,0,0,1.734,1.282,217974
709,29.327,0,0,41.421,22.694,268492
2845,143.728,0,0,155.982,25.709,257994
1978,108.269,0,0,111.275,10.951,248085
1010,57.081,0,0,57.662,2.014,248626
194,8.907,0,0,11.553,0.452,217264
42,1.634,0,0,2.475,0.15,203977
15,0.622,0,0,0.902,0.04,195535
29,0.681,0,0,1.673,1.292,154953
613,25.85,0,0,35.509,22.594,209794
2309,124.34,0,0,128.899,22.174,208613
1371,82.75,0,0,77.911,5.931,230767
280,18.897,0,0,16.492,0.571,224994
31,1.804,0,0,1.914,0.05,179396
23,0.611,0,0,1.663,0.982,197063
477,18.997,0,0,27.504,19.257,215382
2243,119.281,0,0,132.216,23.686,242681
1546,93.02,0,0,86.738,10.34,236442
633,41.24,0,0,35.208,1.683,223068
85,5.852,0,0,4.799,0.1,193690
16,0.441,0,0,1.012,0.832,175613
304,12.594,0,0,17.795,14.668,207294
2210,119.642,0,0,123.039,21.241,216218
1502,88.571,0,0,84.594,7.815,214326
665,38.314,0,0,37.543,1.463,181104
98,5.07,0,0,5.821,0.271,231730
24,1.062,0,0,1.242,0.05,197557
20,0.571,0,0,1.132,1.012,293320
370,15.039,0,0,21.131,16.162,257323
2026,114.311,0,0,112.969,20.199,245456
1318,80.646,0,0,74.524,6.383,272658
449,27.894,0,0,26.601,0.641,263072
26,1.352,0,0,1.523,0.05,259049
28,0.721,0,0,1.533,1.192,173060
636,26.702,0,0,36.15,22.133,200949
2443,131.415,0,0,134.41,22.333,214855
1425,85.014,0,0,79.845,5.901,195513
609,34.868,0,0,34.917,0.731,201282
18,0.922,0,0,1.052,0.05,178711
30,0.792,0,0,1.412,1.383,267086
671,27.584,0,0,37.052,22.494,212621
2362,125.433,0,0,125.843,21.582,213035
1327,81.849,0,0,71.498,4.259,197107
382,21.471,0,0,20.981,1.062,233655
60,3.246,0,0,3.747,0.08,189738
21,0.521,0,0,1.372,1.022,101641
227,10.751,0,0,12.103,12.293,163910
883,62.321,0,0,49.035,10.901,203577
226,21.642,0,0,13.315,1.342,220060
55,3.647,0,0,3.497,0.25,268952
9,0.541,0,0,0.601,0.03,151171
32,0.762,0,0,2.043,1.543,216992
567,25.339,0,0,32.894,21.862,220491
1417,87.189,0,0,80.386,12.594,240116
465,38.054,0,0,26.792,1.352,285885
46,3.387,0,0,2.635,0.17,262918
1,0.24,0,0,0.151,0.029,0
24,0.601,0,0,1.313,1.092,207701
505,20.8,0,0,27.744,30.349,232841
2168,117.156,0,0,115.223,21.562,226772
