nfilter,t1,t2,t3,t4,t5,label_mad
28,2.264,4.619,0.411,0.231,1.663
609,38.435,148.659,6.463,3.177,24.297
864,46.07,93.422,8.026,3.998,26.301
702,37.593,33.024,5.932,2.765,10.601
709,36.16,35.97,5.881,3.005,4.528
614,32.743,29.587,4.769,2.585,2.695
549,30.149,27.704,4.279,2.244,1.032
96,5.22,4.799,0.862,0.44,0.3
8,0.651,0.421,0.16,0.16,0.05
31,1.513,1.363,0.321,0.361,1.664
676,29.737,34.337,5.46,3.046,28.486
814,46.36,40.038,6.994,3.407,14.768
735,35.709,37.482,6.302,3.196,5.621
700,34.828,35.82,5.691,3.006,3.046
533,27.123,27.794,3.988,2.565,1.834
229,12.003,12.213,1.663,1.142,0.681
65,3.026,3.326,0.621,0.3,0.2
13,0.681,0.671,0.201,0.16,0.1
5,0.521,0.281,0.15,0.031,0.031
22,1.783,1.403,0.251,0.19,1.213
443,24.347,26.752,3.316,2.585,17.945
737,38.525,43.655,6.182,3.647,15.35
618,33.475,35.409,4.91,3.327,6.543
565,32.824,33.225,4.378,2.846,1.603
521,29.157,29.888,3.857,2.285,0.881
54,3.135,3.276,0.541,0.311,0.08
17,0.691,1.162,0.23,0.14,0.852
357,13.677,18.386,2.535,1.372,15.349
620,30.92,29.988,4.9,1.954,20.47
370,23.555,17.164,2.625,1.162,5.21
353,23.055,17.343,2.505,1.583,1.212
297,21.211,14.148,2.174,1.002,0.411
71,4.489,3.678,0.631,0.251,0.1
26,0.862,1.644,0.271,0.16,1.102
406,19.207,22.935,2.845,1.694,18.626
677,32.994,38.165,5.571,2.685,19.849
577,31,33.105,4.498,2.295,8.366
584,31.562,32.303,4.619,2.385,3.266
626,33.616,36.241,4.98,2.726,1.823
207,10.52,11.843,1.472,0.941,0.481
33,1.984,1.894,0.321,0.29,0.06
19,0.902,1.193,0.28,0.17,0.892
405,17.785,23.075,2.936,2.054,16.312
849,39.507,48.033,7.444,3.276,15.83
784,38.916,42.593,6.673,3.026,6.904
