nfilter,t1,t2,t3,t4,t5,label_mad
112,4.468,0,0,6.232,0.14,18277
21,0.492,0,0,1.102,0.961,4035
387,15.48,0,0,21.371,19.808,9611
1756,97.179,0,0,89.262,17.043,13212
931,57.542,0,0,48.594,2.465,20368
113,7.134,0,0,6.192,0.15,13943
20,0.581,0,0,1.162,0.952,4156
432,16.803,0,0,23.756,17.383,14466.5
2220,114.602,0,0,113.85,23.395,15052.5
1391,80.155,0,0,72.871,7.304,13706
639,35.048,0,0,34.507,1.573,20973
132,6.293,0,0,7.153,0.15,15843
32,0.631,0,0,2.014,1.443,1668.5
560,24.417,0,0,28.996,26.371,3542
1653,91.327,0,0,82.971,15.7,4301
872,54.505,0,0,45.197,4.008,10241.5
383,20.26,0,0,20.881,1.172,17702
102,4.629,0,0,6.042,0.261,21401
30,1.222,0,0,1.874,0.05,18970.5
22,0.55,0,0,1.513,1.093,2432
452,18.095,0,0,24.608,20.45,16246.5
2162,114.081,0,0,111.686,19.057,52794
1366,77.119,0,0,72.701,7.885,31821
820,44.927,0,0,43.945,1.893,32257.5
133,6.623,0,0,7.806,0.44,67290
17,0.862,0,0,0.941,0.05,48983
31,0.732,0,0,1.493,1.342,5672
693,26.881,0,0,33.445,27.162,12567
2332,117.147,0,0,114.792,20.399,11406
1488,81.638,0,0,76.218,7.825,21807
816,43.163,0,0,44.396,1.583,27476
84,4.268,0,0,4.85,0.1,18135.5
21,0.511,0,0,1.512,0.931,8718
501,18.685,0,0,27.222,19.188,28786
2517,132.035,0,0,132.285,24.717,34792
1552,88.622,0,0,82.62,7.394,42933.5
556,31.05,0,0,31.621,0.682,66720
16,0.611,0,0,0.912,0.041,27302
27,0.661,0,0,1.473,1.313,21266
623,25.128,0,0,34.377,20.449,28916
2594,128.839,0,0,135.453,24.237,22705.5
2006,109.972,0,0,101.526,13.426,15654.5
1270,69.916,0,0,67.942,3.547,28265
285,14.528,0,0,16.281,0.36,44262
23,0.841,0,0,1.593,0.16,5453
22,0.681,0,0,1.393,0.07,5506
22,0.532,0,0,1.233,1.072,3663
381,16.472,0,0,21.071,18.897,12362
1892,105.043,0,0,100.965,21.532,21071
1504,86.147,0,0,79.213,7.174,35173.5
763,41.1,0,0,39.396,1.723,27078
190,8.196,0,0,9.298,0.28,35020.5
19,0.701,0,0,1.363,0.16,6391
16,0.511,0,0,1.282,0.061,18346.5
29,0.732,0,0,1.533,1.272,13287
577,23.094,0,0,30.109,19.878,15197
2016,108.069,0,0,103.38,19.016,20361.5
1347,75.195,0,0,67.17,6.112,20861
681,35.098,0,0,34.707,2.264,26092
202,10.08,0,0,11.181,0.45,24118
37,1.723,0,0,1.753,0.2,14323
22,0.611,0,0,1.463,0.05,42589.5
22,0.43,0,0,1.223,1.112,4334.5
321,13.286,0,0,17.865,19.197,7805
1270,77.46,0,0,65.207,15.521,7259
564,39.647,0,0,30.108,1.794,9230
69,4.669,0,0,3.757,0.09,4516
32,1.053,0,0,1.743,1.423,22732.5
730,29.768,0,0,40.669,24.277,31180
2715,136.955,0,0,141.243,27.694,47614
1812,104.793,0,0,97.058,12.003,36308
927,54.775,0,0,50.648,2.746,36374
249,12.634,0,0,13.526,0.651,24463
44,2.044,0,0,2.264,0.201,16537
21,0.711,0,0,1.172,0.05,15528
27,0.571,0,0,1.543,1.273,18121
597,23.976,0,0,33.184,27.253,63667
2188,111.596,0,0,117.096,16.182,80239.5
1208,64.996,0,0,65.857,3.747,58873.5
312,16.131,0,0,18.155,0.481,38563
37,1.322,0,0,2.315,0.15,13553
9,0.35,0,0,0.51,0.03,11270
28,0.581,0,0,1.633,1.283,164152
657,26.451,0,0,36.471,30.789,160100
2479,123.139,0,0,132.726,24.457,91685
1628,94.593,0,0,88.071,8.236,62702.5
680,40.779,0,0,38.385,0.831,38151.5
22,1.494,0,0,1.594,0.049,10476.5
17,0.561,0,0,0.982,0.832,32817
395,17.124,0,0,22.724,18.465,31004
2673,135.281,0,0,138.759,29.457,39031
2124,116.145,0,0,111.185,19.989,43212.5
1267,77.57,0,0,67.36,7.745,62820
496,32.282,0,0,27.503,0.852,163866
19,1.503,0,0,1.122,0.11,25710
2,0.251,0,0,0.17,0.03,1701
16,0.452,0,0,1.122,0.722,8069.5
356,13.556,0,0,18.806,18.636,17985.5
2606,126.575,0,0,133.679,30.529,23068
2271,122.618,0,0,118.87,17.153,27424
1684,91.578,0,0,89.092,6.332,48334.5
715,38.494,0,0,47.391,1.483,46218
115,5.4,0,0,6.353,0.24,34532
16,0.55,0,0,1.102,0.05,25007
32,0.962,0,0,1.813,1.472,63159.5
722,30.64,0,0,39.807,21.682,67166.5
2608,132.126,0,0,138.868,21.823,51615.5
1959,106.376,0,0,103.701,9.338,46689
833,46.28,0,0,46.76,2.435,58363
250,12.134,0,0,14.387,0.431,55791.5
20,0.982,0,0,1.543,0.15,6118
15,0.522,0,0,0.872,0.061,21169
29,0.942,0,0,1.743,1.273,16562
718,28.435,0,0,38.915,23.856,23507
2885,141.133,0,0,152.706,25.66,36041
2448,125.412,0,0,131.605,12.795,45748
1349,72.29,0,0,73.202,2.855,46531
271,13.346,0,0,15.68,0.29,48342
22,0.491,0,0,1.613,1.051,4225.5
385,15.64,0,0,20.289,17.614,7074
1815,100.785,0,0,94.252,15.249,9137
983,58.573,0,0,52.301,2.996,14392
269,14.929,0,0,14.588,0.501,23441
13,0.761,0,0,0.761,0.151,6202
9,0.431,0,0,0.551,0.03,1026
25,0.551,0,0,1.333,1.162,45197
496,20.801,0,0,27.553,18.075,91686.5
2305,114.431,0,0,123.328,20.671,47621
1472,81.257,0,0,79.965,5.38,37295
406,22.152,0,0,23.015,0.702,45505
51,2.204,0,0,3.077,0.16,67431
18,0.681,0,0,1.082,0.08,45554.5
21,0.511,0,0,1.202,0.892,5657
377,16.262,0,0,20.079,18.686,8347
1961,104.853,0,0,97.789,21.962,10231
1279,78.262,0,0,66.789,8.156,11348
550,34.497,0,0,28.555,1.323,10891
75,3.587,0,0,4.027,0.17,8838
9,0.421,0,0,0.541,0.12,3094
11,0.681,0,0,0.612,0.041,2562
27,0.631,0,0,1.754,1.232,27755
574,32.944,0,0,31.792,23.605,51346
2719,135.322,0,0,143.247,26.902,51918
1772,96.757,0,0,95.785,9.468,50366.5
845,50.227,0,0,46.49,2.274,87860
150,8.456,0,0,8.717,0.3,86031.5
20,0.692,0,0,1.113,0.05,42085.5
22,0.491,0,0,1.223,1.002,2914
350,14.218,0,0,19.137,16.031,6774
1646,89.864,0,0,82.85,21.682,12524
1036,63.703,0,0,54.115,7.173,15945.5
326,21.251,0,0,17.624,1.273,15123.5
71,3.898,0,0,3.958,0.16,17860
13,0.491,0,0,0.792,0.05,8689
24,0.631,0,0,1.383,1.031,8311.5
490,20.079,0,0,27.123,19.848,16908
2416,121.585,0,0,127.066,25.018,44257
1901,105.354,0,0,102.348,9.448,49026
930,49.827,0,0,51.73,2.384,46974.5
219,10.901,0,0,12.645,0.461,42963
26,1.093,0,0,1.713,0.05,52385.5
