Model,Params,Threads,Recall,RR@10,IndexSec,LoadSec,ConvertSec,SearchSecMedian,SearchSecRuns,AmortizedUsPerQuery,QPS,LatencyUsSingleThread,PeakRSSGB,IndexBytes,NumQueries,K,ResultsOrdered,Host,JobID
SparseHNSW-M32,"M=32 efC=200 ef=10 alpha=0.8 beta=3",48,0.8593266476,0.9169,590.9249,11.5666,0.0000,0.036949,"0.036971;0.036949;0.036959;0.036899;0.036877",5.293553,188909.04,,11.12,0,6980,10,True,c250,19271186
SparseHNSW-M32,"M=32 efC=200 ef=20 alpha=0.8 beta=3",48,0.8593266476,0.9169,590.9249,11.5666,0.0000,0.036946,"0.037001;0.036898;0.036928;0.037005;0.036946",5.293123,188924.38,,11.12,0,6980,10,True,c250,19271186
SparseHNSW-M32,"M=32 efC=200 ef=50 alpha=0.8 beta=3",48,0.8993409742,0.9463,590.9249,11.5666,0.0000,0.050566,"0.050566;0.050565;0.050594;0.050528;0.050624",7.244413,138037.42,,11.12,0,6980,10,True,c250,19271186
SparseHNSW-M32,"M=32 efC=200 ef=100 alpha=0.8 beta=3",48,0.9334383954,0.9725,590.9249,11.5666,0.0000,0.082516,"0.086136;0.082424;0.082504;0.082516;0.082564",11.821777,84589.66,,11.12,0,6980,10,True,c250,19271186
SparseHNSW-M32,"M=32 efC=200 ef=200 alpha=0.8 beta=3",48,0.9553868195,0.9877,590.9249,11.5666,0.0000,0.143403,"0.143293;0.143403;0.143307;0.147291;0.148492",20.544842,48674.02,,11.12,0,6980,10,True,c250,19271186
SparseHNSW-M32,"M=32 efC=200 ef=400 alpha=0.8 beta=3",48,0.9672636103,0.9947,590.9249,11.5666,0.0000,0.273995,"0.280896;0.278041;0.273808;0.273995;0.273867",39.254298,25474.92,,11.12,0,6980,10,True,c250,19271186
SparseHNSW-M32,"M=32 efC=200 ef=800 alpha=0.8 beta=3",48,0.9750429799,0.9979,590.9249,11.5666,0.0000,0.520726,"0.521152;0.526485;0.520726;0.518948;0.518346",74.602579,13404.36,,11.13,0,6980,10,True,c250,19271186
SparseHNSW-M32,"M=32 efC=200 ef=1600 alpha=0.8 beta=3",48,0.9808022923,0.9993,590.9249,11.5666,0.0000,0.998907,"0.998907;0.999110;0.999073;0.998452;0.998023",143.109885,6987.64,,11.14,0,6980,10,True,c250,19271186
SparseHNSW-M32,"M=32 efC=200 ef=3200 alpha=0.8 beta=3",48,0.9844269341,1.0000,590.9249,11.5666,0.0000,1.933340,"1.933516;1.932648;1.932186;1.933453;1.933340",276.982808,3610.33,,11.16,0,6980,10,True,c250,19271186
