Model,Recall,Indexing Time,Single Query Time (microseconds),Searching Time (Seconds),QPS,RR@10,params
SINDI,0.9885959885,65.90,457.537966,3.1936149999999999,2185.61,1.0000,"doc_prune=0.2 query_prune=0.3 n_cand=20 threads=48"
SINDI,0.9990830946,65.90,459.169914,3.2050060000000000,2177.84,1.0000,"doc_prune=0.2 query_prune=0.3 n_cand=50 threads=48"
SINDI,0.8956303725,65.90,515.569771,3.5986769999999999,1939.60,1.0000,"doc_prune=0.2 query_prune=0.2 n_cand=10 threads=48"
SINDI,0.9889111748,65.90,516.132808,3.6026069999999999,1937.49,1.0000,"doc_prune=0.2 query_prune=0.2 n_cand=20 threads=48"
SINDI,0.9990974212,65.90,517.732808,3.6137750000000000,1931.50,1.0000,"doc_prune=0.2 query_prune=0.2 n_cand=50 threads=48"
SINDI,0.8962177650,65.90,571.748711,3.9908060000000001,1749.02,1.0000,"doc_prune=0.2 query_prune=0.1 n_cand=10 threads=48"
SINDI,0.9888681948,65.90,573.839685,4.0054010000000000,1742.65,1.0000,"doc_prune=0.2 query_prune=0.1 n_cand=20 threads=48"
SINDI,0.9990974212,65.90,574.762751,4.0118440000000000,1739.85,1.0000,"doc_prune=0.2 query_prune=0.1 n_cand=50 threads=48"
SINDI,0.8963610315,65.90,633.888539,4.4245419999999998,1577.56,1.0000,"doc_prune=0.2 query_prune=0 n_cand=10 threads=48"
SINDI,0.9888395415,65.90,633.850430,4.4242759999999999,1577.66,1.0000,"doc_prune=0.2 query_prune=0 n_cand=20 threads=48"
SINDI,0.9990830946,65.90,636.885960,4.4454640000000003,1570.14,1.0000,"doc_prune=0.2 query_prune=0 n_cand=50 threads=48"
SINDI,0.8281518625,61.70,251.698854,1.7568580000000000,3973.00,0.9999,"doc_prune=0.3 query_prune=0.5 n_cand=10 threads=48"
SINDI,0.9589111748,61.70,253.822493,1.7716810000000001,3939.76,1.0000,"doc_prune=0.3 query_prune=0.5 n_cand=20 threads=48"
SINDI,0.9929512894,61.70,255.162178,1.7810319999999999,3919.08,1.0000,"doc_prune=0.3 query_prune=0.5 n_cand=50 threads=48"
SINDI,0.8322349570,61.70,296.031232,2.0662980000000002,3378.02,0.9999,"doc_prune=0.3 query_prune=0.4 n_cand=10 threads=48"
SINDI,0.9604441261,61.70,295.884097,2.0652710000000001,3379.70,1.0000,"doc_prune=0.3 query_prune=0.4 n_cand=20 threads=48"
SINDI,0.9933524355,61.70,297.629513,2.0774539999999999,3359.88,1.0000,"doc_prune=0.3 query_prune=0.4 n_cand=50 threads=48"
SINDI,0.8342550143,61.70,337.513324,2.3558430000000001,2962.85,1.0000,"doc_prune=0.3 query_prune=0.3 n_cand=10 threads=48"
SINDI,0.9615329513,61.70,338.338682,2.3616039999999998,2955.62,1.0000,"doc_prune=0.3 query_prune=0.3 n_cand=20 threads=48"
SINDI,0.9935386819,61.70,339.699140,2.3711000000000002,2943.78,1.0000,"doc_prune=0.3 query_prune=0.3 n_cand=50 threads=48"
SINDI,0.8346131805,61.70,379.922779,2.6518609999999998,2632.11,1.0000,"doc_prune=0.3 query_prune=0.2 n_cand=10 threads=48"
SINDI,0.9618194842,61.70,384.621347,2.6846570000000001,2599.96,1.0000,"doc_prune=0.3 query_prune=0.2 n_cand=20 threads=48"
SINDI,0.9936103152,61.70,382.460029,2.6695709999999999,2614.65,1.0000,"doc_prune=0.3 query_prune=0.2 n_cand=50 threads=48"
SINDI,0.8348567335,61.70,420.075358,2.9321259999999998,2380.53,1.0000,"doc_prune=0.3 query_prune=0.1 n_cand=10 threads=48"
SINDI,0.9620487106,61.70,420.654011,2.9361649999999999,2377.25,1.0000,"doc_prune=0.3 query_prune=0.1 n_cand=20 threads=48"
SINDI,0.9935959885,61.70,422.368911,2.9481350000000002,2367.60,1.0000,"doc_prune=0.3 query_prune=0.1 n_cand=50 threads=48"
SINDI,0.8348567335,61.70,465.544556,3.2495010000000000,2148.02,1.0000,"doc_prune=0.3 query_prune=0 n_cand=10 threads=48"
SINDI,0.9620630372,61.70,465.382951,3.2483730000000000,2148.77,1.0000,"doc_prune=0.3 query_prune=0 n_cand=20 threads=48"
SINDI,0.9935673352,61.70,466.024069,3.2528480000000002,2145.81,1.0000,"doc_prune=0.3 query_prune=0 n_cand=50 threads=48"
SINDI,0.7626217765,57.86,190.680229,1.3309480000000000,5244.38,0.9996,"doc_prune=0.4 query_prune=0.5 n_cand=10 threads=48"
SINDI,0.9113467049,57.86,190.858883,1.3321950000000000,5239.47,1.0000,"doc_prune=0.4 query_prune=0.5 n_cand=20 threads=48"
SINDI,0.9764756447,57.86,191.756734,1.3384620000000000,5214.94,1.0000,"doc_prune=0.4 query_prune=0.5 n_cand=50 threads=48"
SINDI,0.7647994269,57.86,220.800860,1.5411900000000001,4528.97,0.9996,"doc_prune=0.4 query_prune=0.4 n_cand=10 threads=48"
SINDI,0.9131232092,57.86,221.458739,1.5457820000000000,4515.51,1.0000,"doc_prune=0.4 query_prune=0.4 n_cand=20 threads=48"
SINDI,0.9771776504,57.86,222.599284,1.5537430000000001,4492.38,1.0000,"doc_prune=0.4 query_prune=0.4 n_cand=50 threads=48"
SINDI,0.7658022923,57.86,251.641977,1.7564610000000001,3973.90,0.9997,"doc_prune=0.4 query_prune=0.3 n_cand=10 threads=48"
SINDI,0.9136246418,57.86,251.857020,1.7579620000000000,3970.51,1.0000,"doc_prune=0.4 query_prune=0.3 n_cand=20 threads=48"
SINDI,0.9774641834,57.86,253.254011,1.7677130000000001,3948.60,1.0000,"doc_prune=0.4 query_prune=0.3 n_cand=50 threads=48"
SINDI,0.7658595989,57.86,281.942550,1.9679590000000000,3546.82,0.9997,"doc_prune=0.4 query_prune=0.2 n_cand=10 threads=48"
SINDI,0.9140401146,57.86,282.222206,1.9699110000000000,3543.31,1.0000,"doc_prune=0.4 query_prune=0.2 n_cand=20 threads=48"
SINDI,0.9778080229,57.86,284.650287,1.9868589999999999,3513.08,1.0000,"doc_prune=0.4 query_prune=0.2 n_cand=50 threads=48"
SINDI,0.7664326648,57.86,311.736390,2.1759200000000001,3207.84,0.9997,"doc_prune=0.4 query_prune=0.1 n_cand=10 threads=48"
SINDI,0.9142836676,57.86,312.429226,2.1807560000000001,3200.72,1.0000,"doc_prune=0.4 query_prune=0.1 n_cand=20 threads=48"
SINDI,0.9777363897,57.86,313.846132,2.1906460000000001,3186.27,1.0000,"doc_prune=0.4 query_prune=0.1 n_cand=50 threads=48"
SINDI,0.7665616046,57.86,344.239828,2.4027940000000001,2904.95,0.9997,"doc_prune=0.4 query_prune=0 n_cand=10 threads=48"
SINDI,0.9144126074,57.86,344.226504,2.4027010000000000,2905.06,1.0000,"doc_prune=0.4 query_prune=0 n_cand=20 threads=48"
SINDI,0.9777793696,57.86,345.711605,2.4130669999999999,2892.58,1.0000,"doc_prune=0.4 query_prune=0 n_cand=50 threads=48"
SINDI,0.6880659026,55.16,142.731805,0.9962680000000000,7006.15,0.9986,"doc_prune=0.5 query_prune=0.5 n_cand=10 threads=48"
SINDI,0.8450716332,55.16,143.050000,0.9984890000000000,6990.56,0.9999,"doc_prune=0.5 query_prune=0.5 n_cand=20 threads=48"
SINDI,0.9405873926,55.16,144.269484,1.0070010000000000,6931.47,1.0000,"doc_prune=0.5 query_prune=0.5 n_cand=50 threads=48"
SINDI,0.6887392550,55.16,164.852865,1.1506730000000001,6066.02,0.9987,"doc_prune=0.5 query_prune=0.4 n_cand=10 threads=48"
SINDI,0.8463467049,55.16,165.403868,1.1545190000000001,6045.81,0.9999,"doc_prune=0.5 query_prune=0.4 n_cand=20 threads=48"
SINDI,0.9411031519,55.16,166.566046,1.1626310000000000,6003.62,1.0000,"doc_prune=0.5 query_prune=0.4 n_cand=50 threads=48"
SINDI,0.6891547278,55.16,187.566189,1.3092120000000000,5331.45,0.9991,"doc_prune=0.5 query_prune=0.3 n_cand=10 threads=48"
SINDI,0.8471346705,55.16,187.722923,1.3103060000000000,5327.00,0.9999,"doc_prune=0.5 query_prune=0.3 n_cand=20 threads=48"
SINDI,0.9413467049,55.16,189.074642,1.3197410000000001,5288.92,1.0000,"doc_prune=0.5 query_prune=0.3 n_cand=50 threads=48"
SINDI,0.6895558739,55.16,209.841404,1.4646930000000000,4765.50,0.9991,"doc_prune=0.5 query_prune=0.2 n_cand=10 threads=48"
SINDI,0.8470200573,55.16,210.318768,1.4680249999999999,4754.69,0.9997,"doc_prune=0.5 query_prune=0.2 n_cand=20 threads=48"
SINDI,0.9414613181,55.16,211.647994,1.4773030000000000,4724.83,1.0000,"doc_prune=0.5 query_prune=0.2 n_cand=50 threads=48"
SINDI,0.6900716332,55.16,231.531375,1.6160890000000001,4319.07,0.9991,"doc_prune=0.5 query_prune=0.1 n_cand=10 threads=48"
SINDI,0.8471346705,55.16,233.131805,1.6272599999999999,4289.42,0.9997,"doc_prune=0.5 query_prune=0.1 n_cand=20 threads=48"
SINDI,0.9415186246,55.16,234.323496,1.6355780000000000,4267.60,1.0000,"doc_prune=0.5 query_prune=0.1 n_cand=50 threads=48"
SINDI,0.6901002865,55.16,255.952722,1.7865500000000001,3906.97,0.9991,"doc_prune=0.5 query_prune=0 n_cand=10 threads=48"
SINDI,0.8471060172,55.16,255.965043,1.7866359999999999,3906.78,0.9997,"doc_prune=0.5 query_prune=0 n_cand=20 threads=48"
SINDI,0.9416332378,55.16,257.579799,1.7979069999999999,3882.29,1.0000,"doc_prune=0.5 query_prune=0 n_cand=50 threads=48"
SINDI,0.6058739255,52.68,105.001862,0.7329130000000000,9523.64,0.9924,"doc_prune=0.6 query_prune=0.5 n_cand=10 threads=48"
SINDI,0.7619340974,52.68,105.271633,0.7347960000000000,9499.24,0.9977,"doc_prune=0.6 query_prune=0.5 n_cand=20 threads=48"
SINDI,0.8823065903,52.68,106.624355,0.7442380000000000,9378.72,0.9996,"doc_prune=0.6 query_prune=0.5 n_cand=50 threads=48"
SINDI,0.6068624642,52.68,121.159456,0.8456930000000000,8253.59,0.9931,"doc_prune=0.6 query_prune=0.4 n_cand=10 threads=48"
SINDI,0.7623495702,52.68,121.720201,0.8496070000000000,8215.56,0.9975,"doc_prune=0.6 query_prune=0.4 n_cand=20 threads=48"
SINDI,0.8832521490,52.68,122.865616,0.8576020000000000,8138.97,0.9996,"doc_prune=0.6 query_prune=0.4 n_cand=50 threads=48"
SINDI,0.6078510029,52.68,137.714183,0.9612450000000000,7261.42,0.9934,"doc_prune=0.6 query_prune=0.3 n_cand=10 threads=48"
SINDI,0.7626217765,52.68,138.045845,0.9635600000000000,7243.97,0.9976,"doc_prune=0.6 query_prune=0.3 n_cand=20 threads=48"
SINDI,0.8836676218,52.68,139.454441,0.9733920000000000,7170.80,0.9996,"doc_prune=0.6 query_prune=0.3 n_cand=50 threads=48"
SINDI,0.6075644699,52.68,154.379370,1.0775680000000001,6477.55,0.9932,"doc_prune=0.6 query_prune=0.2 n_cand=10 threads=48"
SINDI,0.7628653295,52.68,154.595272,1.0790750000000000,6468.50,0.9976,"doc_prune=0.6 query_prune=0.2 n_cand=20 threads=48"
SINDI,0.8836532951,52.68,155.794126,1.0874429999999999,6418.73,0.9996,"doc_prune=0.6 query_prune=0.2 n_cand=50 threads=48"
SINDI,0.6077793696,52.68,170.303868,1.1887209999999999,5871.86,0.9936,"doc_prune=0.6 query_prune=0.1 n_cand=10 threads=48"
SINDI,0.7631948424,52.68,170.660315,1.1912090000000000,5859.59,0.9980,"doc_prune=0.6 query_prune=0.1 n_cand=20 threads=48"
SINDI,0.8838538682,52.68,172.109885,1.2013270000000000,5810.24,0.9996,"doc_prune=0.6 query_prune=0.1 n_cand=50 threads=48"
SINDI,0.6077793696,52.68,187.850573,1.3111969999999999,5323.38,0.9936,"doc_prune=0.6 query_prune=0 n_cand=10 threads=48"
SINDI,0.7631232092,52.68,188.224928,1.3138099999999999,5312.79,0.9980,"doc_prune=0.6 query_prune=0 n_cand=20 threads=48"
SINDI,0.8840114613,52.68,189.595702,1.3233779999999999,5274.38,0.9996,"doc_prune=0.6 query_prune=0 n_cand=50 threads=48"
SINDI,0.5057879656,50.68,73.925788,0.5160020000000000,13527.08,0.9705,"doc_prune=0.7 query_prune=0.5 n_cand=10 threads=48"
SINDI,0.6532951289,50.68,74.429226,0.5195160000000000,13435.58,0.9851,"doc_prune=0.7 query_prune=0.5 n_cand=20 threads=48"
SINDI,0.7893123209,50.68,75.638395,0.5279560000000000,13220.80,0.9956,"doc_prune=0.7 query_prune=0.5 n_cand=50 threads=48"
SINDI,0.5065616046,50.68,85.316619,0.5955100000000000,11721.05,0.9699,"doc_prune=0.7 query_prune=0.4 n_cand=10 threads=48"
SINDI,0.6537249284,50.68,85.926361,0.5997660000000000,11637.87,0.9851,"doc_prune=0.7 query_prune=0.4 n_cand=20 threads=48"
SINDI,0.7903151862,50.68,87.239255,0.6089300000000000,11462.73,0.9956,"doc_prune=0.7 query_prune=0.4 n_cand=50 threads=48"
SINDI,0.5072636103,50.68,97.136246,0.6780110000000000,10294.82,0.9698,"doc_prune=0.7 query_prune=0.3 n_cand=10 threads=48"
SINDI,0.6541117479,50.68,97.539542,0.6808260000000000,10252.25,0.9854,"doc_prune=0.7 query_prune=0.3 n_cand=20 threads=48"
SINDI,0.7906160458,50.68,98.898854,0.6903140000000000,10111.34,0.9954,"doc_prune=0.7 query_prune=0.3 n_cand=50 threads=48"
SINDI,0.5076504298,50.68,108.821633,0.7595750000000000,9189.35,0.9703,"doc_prune=0.7 query_prune=0.2 n_cand=10 threads=48"
SINDI,0.6542120344,50.68,109.399570,0.7636090000000000,9140.80,0.9857,"doc_prune=0.7 query_prune=0.2 n_cand=20 threads=48"
SINDI,0.7908309456,50.68,110.687679,0.7726000000000000,9034.43,0.9954,"doc_prune=0.7 query_prune=0.2 n_cand=50 threads=48"
SINDI,0.5076074499,50.68,120.528223,0.8412870000000000,8296.81,0.9703,"doc_prune=0.7 query_prune=0.1 n_cand=10 threads=48"
SINDI,0.6544985673,50.68,121.091117,0.8452160000000000,8258.24,0.9858,"doc_prune=0.7 query_prune=0.1 n_cand=20 threads=48"
SINDI,0.7910458453,50.68,122.191261,0.8528950000000000,8183.89,0.9954,"doc_prune=0.7 query_prune=0.1 n_cand=50 threads=48"
SINDI,0.5077793696,50.68,133.063467,0.9287830000000000,7515.21,0.9705,"doc_prune=0.7 query_prune=0 n_cand=10 threads=48"
SINDI,0.6544269341,50.68,133.608023,0.9325840000000000,7484.58,0.9860,"doc_prune=0.7 query_prune=0 n_cand=20 threads=48"
SINDI,0.7910171920,50.68,134.835817,0.9411540000000000,7416.43,0.9954,"doc_prune=0.7 query_prune=0 n_cand=50 threads=48"
