bin_lo,bin_hi,count,fraction,added_count,not_added_count,added_fraction,not_added_fraction
79.0000,80.0000,23,0.0000001881,20,3,0.0000012693,0.0000000282
80.0000,81.0000,82,0.0000006707,69,13,0.0000043790,0.0000001221
81.0000,82.0000,30,0.0000002454,27,3,0.0000017135,0.0000000282
82.0000,83.0000,22,0.0000001799,20,2,0.0000012693,0.0000000188
83.0000,84.0000,11,0.0000000900,9,2,0.0000005712,0.0000000188
84.0000,85.0000,19,0.0000001554,15,4,0.0000009520,0.0000000376
85.0000,86.0000,18,0.0000001472,18,0,0.0000011423,0.0000000000
86.0000,87.0000,8,0.0000000654,8,0,0.0000005077,0.0000000000
87.0000,88.0000,3,0.0000000245,3,0,0.0000001904,0.0000000000
88.0000,89.0000,25,0.0000002045,25,0,0.0000015866,0.0000000000
89.0000,90.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
90.0000,91.0000,2,0.0000000164,2,0,0.0000001269,0.0000000000
91.0000,92.0000,2,0.0000000164,2,0,0.0000001269,0.0000000000
92.0000,93.0000,5,0.0000000409,5,0,0.0000003173,0.0000000000
93.0000,94.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
94.0000,95.0000,1,0.0000000082,1,0,0.0000000635,0.0000000000
95.0000,96.0000,1,0.0000000082,1,0,0.0000000635,0.0000000000
96.0000,97.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
97.0000,98.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
98.0000,99.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
99.0000,100.0000,1,0.0000000082,1,0,0.0000000635,0.0000000000
