bin_lo,bin_hi,count,fraction,added_count,not_added_count,added_fraction,not_added_fraction
79.0000,80.0000,23,0.0000002801,21,2,0.0000013894,0.0000000299
80.0000,81.0000,81,0.0000009865,69,12,0.0000045651,0.0000001791
81.0000,82.0000,30,0.0000003654,27,3,0.0000017864,0.0000000448
82.0000,83.0000,22,0.0000002679,20,2,0.0000013232,0.0000000299
83.0000,84.0000,10,0.0000001218,8,2,0.0000005293,0.0000000299
84.0000,85.0000,19,0.0000002314,16,3,0.0000010586,0.0000000448
85.0000,86.0000,18,0.0000002192,18,0,0.0000011909,0.0000000000
86.0000,87.0000,8,0.0000000974,8,0,0.0000005293,0.0000000000
87.0000,88.0000,3,0.0000000365,3,0,0.0000001985,0.0000000000
88.0000,89.0000,25,0.0000003045,25,0,0.0000016540,0.0000000000
89.0000,90.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
90.0000,91.0000,2,0.0000000244,2,0,0.0000001323,0.0000000000
91.0000,92.0000,2,0.0000000244,2,0,0.0000001323,0.0000000000
92.0000,93.0000,5,0.0000000609,5,0,0.0000003308,0.0000000000
93.0000,94.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
94.0000,95.0000,1,0.0000000122,1,0,0.0000000662,0.0000000000
95.0000,96.0000,1,0.0000000122,1,0,0.0000000662,0.0000000000
96.0000,97.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
97.0000,98.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
98.0000,99.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
99.0000,100.0000,1,0.0000000122,1,0,0.0000000662,0.0000000000
