bin_lo,bin_hi,count,fraction,added_count,not_added_count,added_fraction,not_added_fraction
0.0000,1.0000,110651,0.0013476736,110651,0,0.0073208000,0.0000000000
1.0000,2.0000,85850,0.0010456099,85850,0,0.0056799367,0.0000000000
2.0000,3.0000,100907,0.0012289966,100907,0,0.0066761255,0.0000000000
3.0000,4.0000,107302,0.0013068845,107302,0,0.0070992262,0.0000000000
4.0000,5.0000,128132,0.0015605834,128132,0,0.0084773635,0.0000000000
5.0000,6.0000,135875,0.0016548893,135875,0,0.0089896494,0.0000000000
6.0000,7.0000,149820,0.0018247324,149820,0,0.0099122670,0.0000000000
7.0000,8.0000,148637,0.0018103240,148637,0,0.0098339983,0.0000000000
8.0000,9.0000,166033,0.0020221986,166033,0,0.0109849381,0.0000000000
9.0000,10.0000,148896,0.0018134785,148896,0,0.0098511341,0.0000000000
10.0000,11.0000,5273807,0.0642323220,548564,4725243,0.0362936378,0.0705359268
11.0000,12.0000,4769098,0.0580852197,515324,4253774,0.0340944404,0.0634980871
12.0000,13.0000,4781433,0.0582354538,553767,4227666,0.0366378744,0.0631083607
13.0000,14.0000,4616363,0.0562249841,542290,4074073,0.0358785426,0.0608156057
14.0000,15.0000,4294939,0.0523102011,551947,3742992,0.0365174611,0.0558734037
15.0000,16.0000,4458073,0.0542970913,567907,3890166,0.0375733934,0.0580703393
16.0000,17.0000,4248139,0.0517402006,589887,3658252,0.0390276160,0.0546084498
17.0000,18.0000,4005326,0.0487828601,551047,3454279,0.0364579160,0.0515636488
18.0000,19.0000,4008692,0.0488238563,584835,3423857,0.0386933698,0.0511095253
19.0000,20.0000,2797615,0.0340735464,447348,2350267,0.0295970685,0.0350835420
20.0000,21.0000,4247860,0.0517368025,665544,3582316,0.0440331719,0.0534749174
21.0000,22.0000,3282283,0.0399765593,530820,2751463,0.0351196740,0.0410723835
22.0000,23.0000,3110339,0.0378823677,545680,2564659,0.0361028290,0.0382838723
23.0000,24.0000,2826986,0.0344312704,503639,2323347,0.0333213471,0.0346816945
24.0000,25.0000,2002533,0.0243898467,377153,1625380,0.0249528850,0.0242628125
25.0000,26.0000,3309331,0.0403059904,611794,2697537,0.0404770088,0.0402674047
26.0000,27.0000,2239732,0.0272788115,467486,1772246,0.0309294222,0.0264551504
27.0000,28.0000,2102595,0.0256085517,442436,1660159,0.0292720848,0.0247819750
28.0000,29.0000,1958620,0.0238550084,443616,1515004,0.0293501550,0.0226151779
29.0000,30.0000,1558110,0.0189769977,341811,1216299,0.0226146168,0.0181562678
30.0000,31.0000,1672817,0.0203740714,418625,1254192,0.0276967212,0.0187219144
31.0000,32.0000,1261522,0.0153647047,321024,940498,0.0212393245,0.0140392564
32.0000,33.0000,1231468,0.0149986621,329003,902465,0.0217672245,0.0134715199
33.0000,34.0000,993344,0.0120984313,271537,721807,0.0179652065,0.0107747529
34.0000,35.0000,1007663,0.0122728295,286140,721523,0.0189313581,0.0107705135
35.0000,36.0000,774215,0.0094295501,246752,527463,0.0163254018,0.0078736885
36.0000,37.0000,679701,0.0082784170,221000,458701,0.0146216193,0.0068472458
37.0000,38.0000,627944,0.0076480427,203231,424713,0.0134460014,0.0063398909
38.0000,39.0000,462254,0.0056300217,171837,290417,0.0113689375,0.0043351913
39.0000,40.0000,289332,0.0035239185,110387,178945,0.0073033334,0.0026711963
40.0000,41.0000,468641,0.0057078121,168121,300520,0.0111230826,0.0044860035
41.0000,42.0000,275061,0.0033501049,116880,158181,0.0077329179,0.0023612423
42.0000,43.0000,208452,0.0025388407,93663,114789,0.0061968540,0.0017135094
43.0000,44.0000,178099,0.0021691564,77757,100342,0.0051444943,0.0014978523
44.0000,45.0000,194345,0.0023670245,82712,111633,0.0054723230,0.0016663983
45.0000,46.0000,106634,0.0012987486,54697,51937,0.0036188177,0.0007752880
46.0000,47.0000,106188,0.0012933165,52048,54140,0.0034435567,0.0008081733
47.0000,48.0000,65892,0.0008025315,36002,29890,0.0023819346,0.0004461821
48.0000,49.0000,97639,0.0011891940,48334,49305,0.0031978341,0.0007359989
49.0000,50.0000,3041,0.0000370379,2643,398,0.0001748640,0.0000059411
50.0000,51.0000,71953,0.0008763514,39894,32059,0.0026394338,0.0004785598
51.0000,52.0000,33822,0.0004119350,22047,11775,0.0014586554,0.0001757710
52.0000,53.0000,33278,0.0004053093,16665,16613,0.0011025760,0.0002479901
53.0000,54.0000,21256,0.0002588874,13308,7948,0.0008804729,0.0001186435
54.0000,55.0000,11135,0.0001356187,7923,3212,0.0005241950,0.0000479470
55.0000,56.0000,9964,0.0001213565,7439,2525,0.0004921730,0.0000376919
56.0000,57.0000,16395,0.0001996829,8624,7771,0.0005705740,0.0001160014
57.0000,58.0000,6179,0.0000752571,4590,1589,0.0003036798,0.0000237198
58.0000,59.0000,3623,0.0000441263,2972,651,0.0001966310,0.0000097178
59.0000,60.0000,2956,0.0000360026,2372,584,0.0001569343,0.0000087176
60.0000,61.0000,7163,0.0000872417,4122,3041,0.0002727164,0.0000453944
61.0000,62.0000,1826,0.0000222398,1485,341,0.0000982493,0.0000050903
62.0000,63.0000,1446,0.0000176116,1260,186,0.0000833631,0.0000027765
63.0000,64.0000,779,0.0000094878,703,76,0.0000465113,0.0000011345
64.0000,65.0000,2343,0.0000285366,1459,884,0.0000965292,0.0000131959
65.0000,66.0000,766,0.0000093295,675,91,0.0000446588,0.0000013584
66.0000,67.0000,366,0.0000044577,339,27,0.0000224286,0.0000004030
67.0000,68.0000,180,0.0000021923,169,11,0.0000111812,0.0000001642
68.0000,69.0000,755,0.0000091955,500,255,0.0000330806,0.0000038065
69.0000,70.0000,180,0.0000021923,160,20,0.0000105858,0.0000002985
70.0000,71.0000,128,0.0000015590,125,3,0.0000082701,0.0000000448
71.0000,72.0000,53,0.0000006455,52,1,0.0000034404,0.0000000149
72.0000,73.0000,232,0.0000028256,168,64,0.0000111151,0.0000009554
73.0000,74.0000,45,0.0000005481,42,3,0.0000027788,0.0000000448
74.0000,75.0000,13,0.0000001583,13,0,0.0000008601,0.0000000000
75.0000,76.0000,19,0.0000002314,18,1,0.0000011909,0.0000000149
76.0000,77.0000,75,0.0000009135,59,16,0.0000039035,0.0000002388
77.0000,78.0000,3,0.0000000365,3,0,0.0000001985,0.0000000000
78.0000,79.0000,6,0.0000000731,6,0,0.0000003970,0.0000000000
79.0000,80.0000,1,0.0000000122,1,0,0.0000000662,0.0000000000
80.0000,81.0000,13,0.0000001583,13,0,0.0000008601,0.0000000000
81.0000,82.0000,1,0.0000000122,1,0,0.0000000662,0.0000000000
82.0000,83.0000,2,0.0000000244,2,0,0.0000001323,0.0000000000
83.0000,84.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
84.0000,85.0000,4,0.0000000487,4,0,0.0000002646,0.0000000000
85.0000,86.0000,1,0.0000000122,1,0,0.0000000662,0.0000000000
86.0000,87.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
87.0000,88.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
88.0000,89.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
89.0000,90.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
90.0000,91.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
91.0000,92.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
92.0000,93.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
93.0000,94.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
94.0000,95.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
95.0000,96.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
96.0000,97.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
97.0000,98.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
98.0000,99.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
99.0000,100.0000,0,0.0000000000,0,0,0.0000000000,0.0000000000
